id,name,group,groupLabel,groupNumber,order,image,card,sourceMark,sourceKind,region,regionCode,regionMotif,presentationLogo
meridian_air,Meridian Air,classic-prestige,Classic / Prestige,1,1,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/meridian_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/meridian_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/meridian_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/meridian_air.webp
sovereign_wings,Sovereign Wings,classic-prestige,Classic / Prestige,1,2,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/sovereign_wings.png,/assets/airline-identities/approved-250/cards/classic-prestige/sovereign_wings.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/sovereign_wings.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/sovereign_wings.webp
apex_airlines,Apex Airlines,classic-prestige,Classic / Prestige,1,3,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/apex_airlines.png,/assets/airline-identities/approved-250/cards/classic-prestige/apex_airlines.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/apex_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/apex_airlines.webp
crown_air,Crown Air,classic-prestige,Classic / Prestige,1,4,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/crown_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/crown_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/crown_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/crown_air.webp
pinnacle_airways,Pinnacle Airways,classic-prestige,Classic / Prestige,1,5,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/pinnacle_airways.png,/assets/airline-identities/approved-250/cards/classic-prestige/pinnacle_airways.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/pinnacle_airways.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/pinnacle_airways.webp
prestige_air,Prestige Air,classic-prestige,Classic / Prestige,1,6,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/prestige_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/prestige_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/prestige_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/prestige_air.webp
regency_airlines,Regency Airlines,classic-prestige,Classic / Prestige,1,7,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/regency_airlines.png,/assets/airline-identities/approved-250/cards/classic-prestige/regency_airlines.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/regency_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/regency_airlines.webp
imperial_airways,Imperial Airways,classic-prestige,Classic / Prestige,1,8,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/imperial_airways.png,/assets/airline-identities/approved-250/cards/classic-prestige/imperial_airways.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/imperial_airways.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/imperial_airways.webp
elite_air,Elite Air,classic-prestige,Classic / Prestige,1,9,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/elite_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/elite_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/elite_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/elite_air.webp
majestic_airlines,Majestic Airlines,classic-prestige,Classic / Prestige,1,10,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/majestic_airlines.png,/assets/airline-identities/approved-250/cards/classic-prestige/majestic_airlines.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/majestic_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/majestic_airlines.webp
