"index","city","iata","game_path","width","height","sha256"
"1","Albuquerque","ABQ","game/assets/city-skylines/abq.webp","360","176","f579003eac7fedafa1adce02cccc6877a2f3f9a6dd1485454c93b4e7c1cc8b1f"
"2","Amarillo","AMA","game/assets/city-skylines/ama.webp","360","176","088fed5fd8976a3317f1db83e3e85cec539e390e3a66531f115b328bd6cac1bd"
"3","Anchorage","ANC","game/assets/city-skylines/anc.webp","360","176","6d4e2bb638f87ee04413a80571dc0af8d612cae2f7b5a743706dfa3891d7aa3d"
"4","Atlanta","ATL","game/assets/city-skylines/atl.webp","360","176","990e14ca1a6d87d6705817cda3cf78cce996cfc71072425a34d00b62e6cbc5d4"
"5","Baltimore","BWI","game/assets/city-skylines/bwi.webp","360","176","2a5a51b3936789435da16ed00f94b78d4e0b68ca84d30277d10dd7c5b4d025c9"
"6","Belmopan","BZE","game/assets/city-skylines/bze.webp","360","176","63e95350a612731ed773789ed1f92ff2c53005ed7d33afe933d40d6718edfc40"
"7","Billings","BIL","game/assets/city-skylines/bil.webp","360","176","6a25e758be30f03964d978e9ebc5571c515e8daf082fc6161bef9d564b4e59cc"
"8","Birmingham","BHM","game/assets/city-skylines/bhm.webp","360","176","65dd24d60d5c189db5532772f329810332cf68f6a8cd2e7d3e294ed39b458e52"
"9","Bismarck","BIS","game/assets/city-skylines/bis.webp","360","176","8a7ff0d7330cacf2915e6a743906ecc8bc12e8e3cb75ec2b1d65fb39de329376"
"10","Boise","BOI","game/assets/city-skylines/boi.webp","360","176","00e991783c39a73ee0172a5b3879f56bf9a24f4a3b795cf7350d6fd6c6114373"
"11","Boston","BOS","game/assets/city-skylines/bos.webp","360","176","7ce9b6dee33b7c456e592c9812b11329d4fae23d7f715dd1f36d6b42df4d47af"
"12","Bozeman","BZN","game/assets/city-skylines/bzn.webp","360","176","44e87e6359042bf0b01a94d50316779c49ba0f2a31ddcda782854743b426fa5a"
"13","Calgary","YYC","game/assets/city-skylines/yyc.webp","360","176","a16f17371b1d2951469350f738f9404d521b339a28416963c6f45da8ab08f36e"
"14","Cancun","CUN","game/assets/city-skylines/cun.webp","360","176","69ff0194a1fa1d73006404e24c19b15df8ad92e9260634fa67a17302035d66df"
"15","Casper","CPR","game/assets/city-skylines/cpr.webp","360","176","35ca5455539f37042933f5cc8fd5b1b1a41ba12e478d83b6a007fa447e86e78a"
"16","Charleston SC","CHS","game/assets/city-skylines/chs.webp","360","176","aa57f2a02d320fbcbbe38b49e2d3c96de629ef0221c156f7250bd103ee90eeff"
"17","Charleston WV","CRW","game/assets/city-skylines/crw.webp","360","176","dbced3b2dfefbd6615eb6ed2d2f2e8b8927f881ef5c4853df841aa90f8acf9b0"
"18","Charlotte","CLT","game/assets/city-skylines/clt.webp","360","176","e0681181ab39a1520de0d090cecc4c6d967fdb90256f9167413414af42aa3760"
"19","Cheyenne","CYS","game/assets/city-skylines/cys.webp","360","176","a64e1af6f195796f3088d6a3875701874b719c74bc7e4f15e5993c0784b35e27"
