model,id,name,type,seats,range,era,vintage,source,card,hero
"A220-100","SKY-110","Skylark 110","short","110","3400","2016","false","assets/aircraft-cards/source/a220-100.svg","assets/aircraft-cards/cards/a220-100.webp","game/assets/aircraft-heroes/a220-100.webp"
"A220-300","SKY-140","Skylark 140","short","140","3300","2018","false","assets/aircraft-cards/source/a220-300.svg","assets/aircraft-cards/cards/a220-300.webp","game/assets/aircraft-heroes/a220-300.webp"
"B737-800","MTR-162","MetroRunner 162","medium","162","3115","1998","false","assets/aircraft-cards/source/b737-800.svg","assets/aircraft-cards/cards/b737-800.webp","game/assets/aircraft-heroes/b737-800.webp"
"B737 MAX 8","MTX-178","MetroJet 178","medium","178","3550","2017","false","assets/aircraft-cards/source/b737-max-8.svg","assets/aircraft-cards/cards/b737-max-8.webp","game/assets/aircraft-heroes/b737-max-8.webp"
"B737 MAX 10","MTS-204","MetroJet Stretch 204","medium","204","3300","2022","false","assets/aircraft-cards/source/b737-max-10.svg","assets/aircraft-cards/cards/b737-max-10.webp","game/assets/aircraft-heroes/b737-max-10.webp"
"A319","CTA-128","CityArrow 128","medium","128","4200","1996","false","assets/aircraft-cards/source/a319.svg","assets/aircraft-cards/cards/a319.webp","game/assets/aircraft-heroes/a319.webp"
"A320","CTL-180","CityLink 180","medium","180","4180","1988","false","assets/aircraft-cards/source/a320.svg","assets/aircraft-cards/cards/a320.webp","game/assets/aircraft-heroes/a320.webp"
"A320neo","ECO-194","EcoLink 194","medium","194","4000","2016","false","assets/aircraft-cards/source/a320neo.svg","assets/aircraft-cards/cards/a320neo.webp","game/assets/aircraft-heroes/a320neo.webp"
"A321XLR","HLX-220","Horizon XLR 220","medium","220","5400","2024","false","assets/aircraft-cards/source/a321xlr.svg","assets/aircraft-cards/cards/a321xlr.webp","game/assets/aircraft-heroes/a321xlr.webp"
"B767-300ER","BRG-218","BridgeLiner 218","long","218","6025","1988","false","assets/aircraft-cards/source/b767-300er.svg","assets/aircraft-cards/cards/b767-300er.webp","game/assets/aircraft-heroes/b767-300er.webp"
"B787-8","NGD-242","Nightglide 242","long","242","7355","2011","false","assets/aircraft-cards/source/b787-8.svg","assets/aircraft-cards/cards/b787-8.webp","game/assets/aircraft-heroes/b787-8.webp"
"B787-9","NGD-296","Nightglide 296","long","296","7530","2014","false","assets/aircraft-cards/source/b787-9.svg","assets/aircraft-cards/cards/b787-9.webp","game/assets/aircraft-heroes/b787-9.webp"
"B787-10","NGD-336","Nightglide 336","long","336","6430","2018","false","assets/aircraft-cards/source/b787-10.svg","assets/aircraft-cards/cards/b787-10.webp","game/assets/aircraft-heroes/b787-10.webp"
"A330-300","ATL-300","Atlantic 300","long","300","6350","1994","false","assets/aircraft-cards/source/a330-300.svg","assets/aircraft-cards/cards/a330-300.webp","game/assets/aircraft-heroes/a330-300.webp"
"A330neo","ATN-310","Atlantic Neo 310","long","310","7200","2018","false","assets/aircraft-cards/source/a330neo.svg","assets/aircraft-cards/cards/a330neo.webp","game/assets/aircraft-heroes/a330neo.webp"
"A350-900","AUR-369","Aurora 369","long","369","8100","2015","false","assets/aircraft-cards/source/a350-900.svg","assets/aircraft-cards/cards/a350-900.webp","game/assets/aircraft-heroes/a350-900.webp"
"A350-1000","AUX-410","Aurora XL 410","long","410","8700","2017","false","assets/aircraft-cards/source/a350-1000.svg","assets/aircraft-cards/cards/a350-1000.webp","game/assets/aircraft-heroes/a350-1000.webp"
"B747-400","SKQ-416","SkyQueen 416","jumbo","416","7670","1989","false","assets/aircraft-cards/source/b747-400.svg","assets/aircraft-cards/cards/b747-400.webp","game/assets/aircraft-heroes/b747-400.webp"
"B747-8I","SQ8-467","SkyQueen Eight 467","jumbo","467","8000","2012","false","assets/aircraft-cards/source/b747-8i.svg","assets/aircraft-cards/cards/b747-8i.webp","game/assets/aircraft-heroes/b747-8i.webp"
